Species	Commodities
Grapevine Tunisian ringspot virus	Vitis
Grapevine vein clearing virus	Vitis
Grapevine virus B	Vitis
Grapevine virus D	Vitis
Grapevine virus E	Vitis
Grapevine virus G	Vitis
Grapevine virus H	Vitis
Grapevine virus I	Vitis
Grapevine virus J	Vitis
Grapevine virus K	Vitis
Grapevine virus L	Vitis
Grapevine virus M	Vitis
Grapevine virus T	Vitis
Groundnut bud necrosis virus	Catharanthus roseus/Potato/Taro
Groundnut ringspot virus	Potato
Guinea grass mosaic potyvirus	Clonal grasses
Guinea grass mosaic virus	Clonal grasses
Holcus lanatus yellowing rhabdovirus	Clonal grasses
Holcus lanatus yellowing virus	Clonal grasses
Holcus streak potyvirus	Clonal grasses
Holcus streak virus	Clonal grasses
Hop stunt hostuviroid	Rutaceae/Hops
Hop stunt viroid	Rutaceae/Hops
Humulus japonicus latent virus	Hops
Indian cassava mosaic begomovirus	Cassava
Indian cassava mosaic virus	Cassava
Indian peanut clump potyvirus	Clonal grasses
Indian peanut clump virus	Clonal grasses
Konjac mosaic virus	Taro
Lupinus mosaic virus	Lupins
Maize chlorotic mottle machlomovirus	Clonal grasses/Grains
Maize chlorotic mottle potyvirus	Clonal grasses/Grains
Maize chlorotic mottle virus	Clonal grasses/Grains
Maize chlorotic mottle virus 1	Clonal grasses/Grains/Sugarcane
Maize dwarf mosaic potyvirus	Clonal grasses/Grains
Maize dwarf mosaic virus	Clonal grasses/Grains
Maize mosaic nucleorhabdovirus	Clonal grasses/Grains
Maize mosaic rhabdovirus B	Clonal grasses
Maize mosaic virus B	Clonal grasses
Maize rough dwarf fijivirus	Clonal grasses
Maize rough dwarf virus	Clonal grasses
Maize streak geminivirus	Clonal grasses
Maize streak virus	Clonal grasses
Maize white line mosaic virus	Grains
Millet streak geminivirus	Clonal grasses
Millet streak virus	Clonal grasses
Miscanthus streak mastrevirus	Clonal grasses
Miscanthus streak virus	Clonal grasses
Molinia streak sobemovirus	Clonal grasses
Molinia streak virus	Clonal grasses
Moroccan watermelon mosaic potyvirus	Papaya
Moroccan watermelon mosaic virus	Papaya
Mulberry green mosaic virus	Mulberry
Mulberry latent carlavirus	Mulberry
Mulberry latent virus	Mulberry
Mulberry mosaic dwarf viroid	Mulberry
Mulberry small circular viroid	Mulberry
Mulberry small circular viroid like RNA 1	Mulberry
Mulberry small circular viroid like RNA 1	Mulberry
Mulberry mosaic leaf roll associated nepovirus	Mulberry
Mulberry mosaic leaf roll associated virus	Mulberry
Mulberry mosaic virus	Mulberry
Mulberry ringspot nepovirus	Mulberry
Mulberry ringspot virus	Mulberry
Mulberry vein banding tospovirus	Mulberry
Mulberry vein banding virus	Mulberry
Mulberry yellow net vein virus	Mulberry
Myrobalan latent ringspot nepovirus	Stonefruit
Myrobalan latent ringspot virus	Stonefruit
Nectarine marafivirus M	Stonefruit
Oat necrotic mottle potyvirus	Clonal grasses
Oat necrotic mottle virus	Clonal grasses
Olive latent 1 sobemovirus	Olives
Olive latent 2 ourmiavirus	Olives
Olive latent ringspot nepovirus	Olives
Olive latent ringspot virus	Olives
Olive latent virus 1	Olives
Olive latent virus 2	Olives
Olive latent virus 3	Olives
Olive leaf yellowing associated closterovirus	Olives
Olive leaf yellowing associated virus	Olives
Olive mild mosaic necrovirus	Olives
Olive mild mosaic virus	Olives
Olive semi latent virus	Olives
Olive semilatent virus	Olives
Olive vein yellowing associated potexvirus	Olives
Olive vein yellowing associated virus	Olives
Olive yellow mottling and decline associated virus	Olives
Panicum mosaic sobemovirus	Clonal grasses
Panicum mosaic virus	Clonal grasses
Papaya apical necrosis rhabdovirus	Papaya
Papaya apical necrosis virus	Papaya
Papaya droopy necrosis rhabdovirus	Papaya
Papaya droopy necrosis virus	Papaya
Papaya leaf crumple virus	Catharanthus roseus
Papaya leaf curl geminivirus	Papaya
Papaya leaf curl virus	Papaya
Papaya leaf distortion mosaic potyvirus	Papaya
Papaya leaf distortion mosaic virus	Papaya
Papaya lethal yellowing sobemovirus	Papaya
Papaya lethal yellowing virus	Papaya
Papaya meleira virus	Papaya
Papaya mosaic potexvirus	Papaya
Papaya mosaic virus	Papaya
Papaya ringspot potyvirus	Papaya
Papaya ringspot potyvirus – Type P3	Papaya
Papaya ringspot virus	Papaya
Passiflora chlorosis potyvirus	Passionfruit
Passiflora chlorosis virus	Passionfruit
Passion fruit yellow mosaic virus	Passionfruit
Passionfruit crinkle potyvirus	Passionfruit
Passionfruit crinkle virus	Passionfruit
Passionfruit ringspot potyvirus	Passionfruit
Passionfruit ringspot virus	Passionfruit
Passionfruit severe leaf distortion begomovirus	Passionfruit
Passionfruit severe leaf distortion virus	Passionfruit
Passionfruit Sri Lankan mottle potyvirus	Passionfruit
Passionfruit Sri Lankan mottle virus	Passionfruit
Passionfruit vein clearing rhabdovirus	Passionfruit
Passionfruit vein clearing virus	Passionfruit
Passionfruit yellow mosaic tymoviridae	Passionfruit
Passionfruit yellow mosaic tymovirus	Passionfruit
Passionfruit yellow mosaic virus	Passionfruit
Pea early browning tobravirus	Legumes/Lupins
Pea early browning virus	Legumes/Lupins
Pea early browning virus	Legumes/Lupins
Pea enation mosaic virus	Lupins
Pea seed borne mosaic virus	Legumes
Peach chlorotic leaf spot virus	Stonefruit
Peach chlorotic mottle virus	Stonefruit
Peach enation nepovirus	Stonefruit
Peach enation virus	Stonefruit
Peach leaf pitting associated virus	Stonefruit
Peach maravirus D	Stonefruit
Peach mosaic trichovirus	Stonefruit
Peach mosaic virus	Stonefruit
Peach rosette mosaic nepovirus	Blueberry/Vitis/Stonefruit
