Eggplant_mottled_dwarf_alphanucleorhabdovirus	ICTV,Family:Rhabdoviridae,Genus:Alphanucleorhabdovirus,Species:Eggplant_mottled_dwarf_alphanucleorhabdovirus,nucl:75,prot:n.a.
Elm_mottle_virus	ICTV,Family:Bromoviridae,Genus:Ilarvirus,Species:Elm_mottle_virus,nucl:n.a.,prot:n.a.
Festuca_leaf_streak_cytorhabdovirus	ICTV,Family:Rhabdoviridae,Genus:Cytorhabdovirus,Species:Festuca_leaf_streak_cytorhabdovirus,nucl:75,prot:n.a.
Fig-fleck_associated_virus	ICTV,Family:Tymoviridae,Genus:Maculavirus,Species:Fig-fleck_associated_virus,nucl:80,prot:90
Fig_leaf_mottle_associated_virus_1	ICTV,Family:Closteroviridae,Genus:Unclassified_Closterovirus,Species:Fig_leaf_mottle_associated_virus_1,nucl:n.a.,prot:75
Fig_leaf_mottle_associated_virus	ICTV,Family:Closteroviridae,Genus:Unclassified_Closterovirus,Species:Fig_leaf_mottle_associated_virus,nucl:n.a.,prot:75
Foxtail_mosaic_virus	ICTV,Family:Alphaflexiviridae,Genus:Potexvirus,Species:Foxtail_mosaic_virus,nucl:72,prot:80
Fragaria_chiloensis_latent_virus	ICTV,Family:Bromoviridae,Genus:Ilarvirus,Species:Fragaria_chiloensis_latent_virus,nucl:n.a.,prot:n.a.
Goosberry_vein_banding_associated_virus	ICTV,Family:Caulimoviridae,Genus:Caulimovirus,Species:Goosberry_vein_banding_associated_virus,nucl:80,prot:n.a.
Grapevine_Anatolian_ringspot_virus	ICTV,Family:Secoviridae,Genus:Nepovirus,Species:Grapevine_Anatolian_ringspot_virus,nucl:n.a.,prot:75-80
Grapevine_asteroid_mosaic_associated_virus	ICTV,Family:Tymoviridae,Genus:Marafivirus,Species:Grapevine_asteroid_mosaic_associated_virus,nucl:80,prot:90
Grapevine_berry_inner_necrosis_virus	ICTV,Family:Betaflexiviridae,Genus:Trichovirus,Species:Grapevine_berry_inner_necrosis_virus,nucl:72,prot:80
Grapevine_Bulgarian_latent_virus	ICTV,Family:Secoviridae,Genus:Nepovirus,Species:Grapevine_Bulgarian_latent_virus,nucl:n.a.,prot:75-80
Grapevine_chrome_mosaic_virus	ICTV,Family:Secoviridae,Genus:Nepovirus,Species:Grapevine_chrome_mosaic_virus,nucl:n.a.,prot:75-80
